,given_name,surname,sex,postcode,phone_number,national_insurance_number,bank_account_number,blood_group,age_grouped,area,weight,SNP3,SNP5,SNP2,n_countries_visited,avg_n_cigret_per_week,height,IP_Address,Diet,SNP4,current_country,SNP1,avg_n_drinks_per_week,Ethnicity,birthdate,education_level,Chip_ID
10,Michael,Ellis,1,BT1 LS3,(07700)900664,ZZ123099T,54684090,A+,"(45, 50]",Belfast,43.6,0.604099621,0.895047025,0.111477231,42,293.3,1.83,721249,moderate,0.774217481,United Kingdom,0.45097228,1.8,Indian,08/10/1963,primary,3
11,Thomas,Harris,1,DG2 5LR,+44(0)7700900438,ZZ 19 75 24 T,46400046,A+,"(50, 55]",Dumfries,52.6,0.496941755,0.977188573,0.50590395,29,288.1,1.84,177433,poor,0.934343078,United Kingdom,0.965168988,2.5,White and Black African,05/11/1995,bachelor,2
12,Francis,Rogers,1,BT36 Z0M,+44(0)7700 900 491,ZZ 333604 T,97443201,O+,"(50, 55]",Newry,64.1,0.081409362,0.467274181,0.695655454,44,406.9,1.91,548711,poor,0.577814768,United Kingdom,0.047071714,3,Other Ethnic Group,26/06/1991,secondary,2
13,Cheryl,Barrett,0,M2 O20,(07700) 900273,ZZ 013027 T,98860126,O+,"(40, 45]",Manchester,80,0.868640313,0.812164202,0.090250456,31,322,1.84,476668,good,0.974757011,United Kingdom,0.795630259,9.6,Chinese,26/08/1961,secondary,5
14,Wayne,Barrett,0,OX1 JP2,07700 900776,ZZ 622180 T,55490733,O+,"(50, 55]",Oxford,77.9,0.184119101,0.216620182,0.408629297,29,67.7,1.57,261385,poor,0.158663652,United Kingdom,0.511012754,4.3,British,03/09/1991,secondary,2
15,Leonard,Robertson,1,EX3 S5T,(07700) 900678,ZZ731495T,43718993,O+,"(40, 45]",Exeter,77.5,0.159867856,0.159202112,0.175779919,45,183.8,1.79,770641,poor,0.480794671,United Kingdom,0.76151496,9,Chinese,31/10/1977,secondary,4
16,Eleanor,Nicholson,1,SW2 TWC,(07700)900067,ZZ 31 39 40 T,91181572,A+,"(45, 50]",Lambeth,41.5,0.163826692,0.428386665,0.273648222,10,74.7,1.95,195038,poor,0.824156619,United Kingdom,0.442136322,10,Other White Background,02/05/1976,phD,1
17,Deborah,Faulkner,0,W1 G0I,(07700) 900859,ZZ761128T,23089118,O+,"(45, 50]",City of Westminster,90.1,0.429878597,0.451071583,0.248877039,24,34.6,1.88,648186,poor,0.398150077,United Kingdom,0.296085021,4.1,White and Black Caribbean,14/04/1957,bachelor,1
18,Christian,Price,1,TW10 HKM,+447700 900 462,ZZ 574139 T,129866549,A+,"(45, 50]",Brent,98.4,0.856631087,0.418422615,0.119431198,27,365,1.91,674052,moderate,0.812852496,United Kingdom,0.356787526,3.6,British,07/11/1996,secondary,4
19,Hilary,Jones,1,G1 93P,(07700)900745,ZZ 259174 T,113418149,O+,"(45, 50]",Glasgow,36.2,0.610760382,0.992624183,0.159607976,4,464,1.88,756295,poor,0.599410522,United Kingdom,0.742577637,3.5,Other Mixed Background,07/09/1987,bachelor,2
20,Harry,Watson,0,SW2 U7V,+44(0)7700 900732,ZZ 14 72 93 T,97861728,O+,"(45, 50]",Lambeth,72.5,0.572092861,0.345127265,0.905499427,37,267.8,1.54,496786,good,0.753017097,United Kingdom,0.266934547,6.1,Other Black Background,20/10/1994,bachelor,5
21,Mohamed,Harrison,1,OX1 TQP,(07700)900708,ZZ 357039 T,44261973,A+,"(50, 55]",Oxford,48.6,0.088324815,0.720860174,0.908011598,14,245.2,1.51,672407,good,0.559538124,United Kingdom,0.842610176,7.4,Other White Background,21/12/1977,secondary,2
22,Trevor,Fox,0,SW3 2RQ,4.48E+11,ZZ 097076 T,12791491,A+,"(45, 50]",Kensington and Chelsea,55.3,0.261686374,0.44035178,0.754545099,35,12.3,1.82,241081,poor,0.587778278,United Kingdom,0.461749166,1.8,British,12/08/1968,secondary,4
23,Eleanor,Atkins,1,SE7 VRJ,(07700) 900 572,ZZ 208421 T,77611422,A-,"(50, 55]",Greenwich,93.3,0.204226604,0.545232309,0.008684089,38,131.7,1.99,502494,poor,0.379818267,United Kingdom,0.124905128,6.6,Other Black Background,30/12/1971,primary,4
24,Marc,Barlow,0,BT34 P0S,7700900318,ZZ 07 81 26 T,59375964,O+,"(50, 55]",Newry,73.2,0.022117253,0.553596988,0.038162799,11,136.8,1.9,810818,good,0.98895771,United Kingdom,0.291188005,8.7,Other Asian Background,30/10/1959,masters,4
25,Michael,Turner,0,SW1 F15,+447700 900 882,ZZ464666T,61804410,O+,"(40, 45]",Richmond upon Thames,49,0.763731551,0.881492336,0.918994335,3,106.7,1.97,756555,good,0.640452964,United Kingdom,0.097778678,2.5,Pakistanti,11/05/1987,secondary,5
26,Joe,Ali,1,SW2 QOY,(07700) 900 720,ZZ326714T,56188659,A+,"(50, 55]",Lambeth,59.3,0.055508499,0.269854516,0.173836221,27,431.9,1.68,542641,good,0.375288232,United Kingdom,0.14017251,5.9,White and Black Caribbean,19/05/2001,secondary,4
27,Heather,Mistry,0,L3 53O,(07700)900098,ZZ 122405 T,22989280,O+,"(45, 50]",Liverpool,60.7,0.755857377,0.26383261,0.644045779,47,244,1.74,508008,poor,0.751794056,United Kingdom,0.24922803,1.4,Pakistanti,14/01/1965,secondary,5
28,Derek,Warren,0,SW15 QH4,7700900117,ZZ 117254 T,42243317,A+,"(50, 55]",Richmond upon Thames,93.7,0.299433582,0.11636362,0.878744243,14,481,1.45,187456,moderate,0.114226777,United Kingdom,0.257347823,5.8,Other Ethnic Group,26/02/1989,secondary,1
29,Beverley,Davies,1,SE3 R54,07700 900844,ZZ 66 56 60 T,57990105,A+,"(45, 50]",Lambeth,95.4,0.011733824,0.920274584,0.31390209,25,293.2,1.8,774108,moderate,0.348616305,United Kingdom,0.859314409,2.8,Irish,20/06/1999,secondary,3
30,Kate,Cross,1,FK9 OU2,(07700) 900612,ZZ 835094 T,70201363,A+,"(45, 50]",Stirling,57,0.813011811,0.037221509,0.830363369,32,470.7,1.98,663295,moderate,0.503921706,United Kingdom,0.816182512,9.5,Chinese,14/05/1989,masters,5
31,Lorraine,Reed,1,DD2 64L,(07700) 900876,ZZ 19 48 92 T,51157818,B+,"(50, 55]",Dundee,90.2,0.416085905,0.450066793,0.155954656,25,74.1,1.77,866126,poor,0.608729896,United Kingdom,0.370130732,3.5,White and Asian,09/03/2001,other,2
32,Robin,Patel,0,CB3 2P3,+447700 900 791,ZZ829026T,21883390,A+,"(50, 55]",Cambridge,59,0.688962398,0.420551661,0.8280254,7,255.7,1.48,125407,poor,0.199817266,United Kingdom,0.336345611,1.9,Pakistanti,29/12/1978,secondary,3
33,Julia,Randall,1,E1 FXN,07700 900 908,ZZ 40 53 33 T,89974254,B-,"(55, 60]",Tower Hamlets,97.5,0.49871206,0.891491703,0.096008677,13,40.6,1.94,521783,good,0.037146108,United Kingdom,0.464510108,3.3,Pakistanti,21/03/1972,secondary,1
34,Lauren,Berry,1,PH2 79V,+447700 900627,ZZ 360373 T,98865875,A+,"(50, 55]",Perth,82.2,0.314448457,0.609617571,0.572017526,34,39.8,1.41,587009,poor,0.418962407,United Kingdom,0.396653396,1.5,Caribbean,19/11/1972,secondary,2
35,Mary,Singh,1,BS2 89S,(07700)900052,ZZ577881T,25766879,A+,"(55, 60]",Bristol,71.2,0.929144369,0.418729155,0.522765059,16,65.7,1.92,405536,poor,0.475602701,United Kingdom,0.811227988,2.7,British,09/02/1984,secondary,4
36,Louis,Ford,1,SO15 DEO,+44(0)7700 900 327,ZZ 95 48 39 T,50965153,A+,"(45, 50]",Southampton,79.4,0.642664197,0.05664554,0.458670781,5,90.6,1.82,759080,moderate,0.15886244,United Kingdom,0.855289888,3.8,Other Mixed Background,11/12/1956,masters,4
37,Kim,Savage,0,G1 W1X,07700 900548,ZZ 058393 T,61101579,A+,"(45, 50]",Glasgow,85.5,0.417604945,0.148611039,0.261713602,11,136.4,1.56,553032,moderate,0.471203285,United Kingdom,0.245775559,5.9,Caribbean,29/08/1957,secondary,4
38,Charles,Knight,1,PO3 1W6,+44(0)7700 900 020,ZZ752042T,53896164,A+,"(50, 55]",Portsmouth,87,0.406223708,0.406589591,0.150960391,33,288.8,1.45,326031,good,0.284017273,United Kingdom,0.441594092,3.1,Other Mixed Background,29/11/1985,other,5
39,Shirley,Thomas,0,EX1 UBW,+44(0)7700 900590,ZZ 165155 T,76740187,B+,"(45, 50]",Exeter,68.2,0.683076354,0.095057634,0.745314084,48,64.4,1.72,141987,poor,0.360881298,United Kingdom,0.025543183,2.8,Other White Background,26/08/1984,secondary,4
40,Helen,Duffy,0,G2 7VU,7700900150,ZZ 21 90 99 T,80816777,A-,"(50, 55]",Glasgow,70.3,0.252338273,0.002209438,0.485916389,45,362.1,1.67,882640,poor,0.692947376,United Kingdom,0.861497999,4.6,Indian,11/11/1990,secondary,3
41,Charlie,Ingram,1,SW14 RKO,+44(0)7700 900 981,ZZ 524979 T,125588698,A+,"(45, 50]",Richmond upon Thames,56.3,0.492503901,0.317751015,0.817809513,48,80.3,1.85,823379,moderate,0.865219141,United Kingdom,0.655108594,2.4,African,23/10/1975,masters,4
42,Hazel,Gibbons,0,W6 ZWY,07700 900243,ZZ195739T,125071985,A+,"(50, 55]",Greenwich,90.8,0.269525599,0.459050488,0.81009913,41,410.4,1.67,447165,poor,0.200583486,United Kingdom,0.611737458,5.8,Other Mixed Background,23/08/1989,other,4
43,Kim,Tyler,1,M2 H6D,4.48E+11,ZZ 72 07 09 T,115128149,O+,"(40, 45]",Manchester,60.9,0.885406338,0.104472608,0.948833384,48,424.5,1.44,151595,moderate,0.469272627,United Kingdom,0.68162258,2.6,Other Ethnic Group,18/05/1959,primary,5
44,Brenda,Price,1,NE3 BVF,+447700 900 750,ZZ 95 14 52 T,72074365,O+,"(55, 60]",Newcastle upon Tyne,36.1,0.593021869,0.54013499,0.335120498,44,49.8,1.51,614664,good,0.425591257,United Kingdom,0.98963566,9.3,Other White Background,20/09/1967,other,4
45,Douglas,Barton,1,N1 QAK,07700 900210,ZZ880921T,43648322,A+,"(45, 50]",Islington,50.1,0.274868264,0.686311774,0.712005181,14,214.4,1.77,159977,moderate,0.8579392,United Kingdom,0.334589,0.2,Irish,22/03/1994,secondary,5
46,Neil,Stevens,0,LL59 91I,+44(0)7700 900 248,ZZ 57 94 99 T,64488150,O+,"(45, 50]",Bangor,43.5,0.980173715,0.580614804,0.808243686,22,487.1,1.41,853992,good,0.29153192,United Kingdom,0.623259525,6.2,Caribbean,28/06/1986,other,4
47,Janice,Lowe,0,SW6 F34,(07700) 900306,ZZ 90 19 21 T,52841880,O+,"(45, 50]",Hammersmith and Fulham,66.9,0.127984552,0.3853544,0.179706992,34,144.2,1.99,681584,good,0.827499979,United Kingdom,0.925159146,7.8,White and Black Caribbean,06/08/1994,secondary,4
48,Vincent,Robinson,0,SW15 ZJK,+447700 900 813,ZZ 371843 T,52190052,A+,"(45, 50]",Richmond upon Thames,68.6,0.074091368,0.373289985,0.953229408,19,353.3,1.65,376383,good,0.222986238,United Kingdom,0.277422797,2.9,Irish,04/06/1996,secondary,2
49,Allan,Hammond,0,AB11 ZYE,4.48E+11,ZZ 648472 T,72521708,A+,"(50, 55]",Aberdeen,38,0.686368301,0.17773647,0.938427087,45,492.7,1.54,335380,poor,0.737349221,United Kingdom,0.243088788,8.1,Other White Background,14/12/1986,other,4
50,Beth,Rogers,0,N8 PXB,07700 900 661,ZZ 747470 T,11749460,O+,"(45, 50]",Haringey,51.2,0.052760922,0.389618869,0.402991564,37,344.9,1.46,866065,good,0.70189072,United Kingdom,0.800814093,2.3,Caribbean,04/04/1979,secondary,1
51,Hilary,Price,0,SW7 RDM,+447700 900 670,ZZ711844T,106571572,O+,"(45, 50]",Kensington and Chelsea,59.6,0.842977208,0.075312819,0.60786591,17,85.9,1.62,610449,good,0.880317418,United Kingdom,0.401690011,2.4,African,25/05/1982,secondary,3
52,Laura,Hammond,0,OX1 R17,+447700 900 837,ZZ 89 55 34 T,19157025,O+,"(40, 45]",Oxford,67.7,0.750111853,0.077017973,0.075204216,36,470.1,1.97,415487,poor,0.155926699,United Kingdom,0.036721061,8.7,Other White Background,05/05/1957,masters,1
53,Laura,Fox,0,SE3 O5U,+44(0)7700 900 649,ZZ 754638 T,33763893,A+,"(50, 55]",Lambeth,64.4,0.619790901,0.378362176,0.421895844,31,208.7,1.44,249334,poor,0.992848269,United Kingdom,0.473858588,1.5,White and Black African,14/11/1978,secondary,3
54,Judith,Hobbs,0,DG2 K28,+44(0)7700 900949,ZZ 311930 T,56418905,A+,"(45, 50]",Dumfries,97.9,0.703071932,0.438902854,0.37691055,28,448.4,1.73,631208,poor,0.460291916,United Kingdom,0.046536453,5.9,Irish,21/10/1956,secondary,2
55,Richard,Wilson,0,SW2 4UN,+44(0)7700 900547,ZZ 781122 T,66384553,A+,"(50, 55]",Lambeth,61.1,0.66065255,0.937449771,0.826967055,38,186.5,1.55,138795,poor,0.509529538,United Kingdom,0.603241044,3.1,Caribbean,10/11/1960,secondary,1
56,Jemma,Hartley,0,B3 3KN,7700900595,ZZ 36 61 82 T,25705144,A+,"(50, 55]",Birmingham,91.1,0.852864531,0.317361542,0.027747742,38,52.3,1.43,202782,moderate,0.675495048,United Kingdom,0.354822556,4.5,Indian,19/06/1997,secondary,5
57,Matthew,Parsons,0,LS3 YQJ,+44(0)7700 900690,ZZ 03 10 76 T,75825207,A-,"(40, 45]",Leeds,81.2,0.063891233,0.737796883,0.517559118,16,439.6,1.52,755996,good,0.227042641,United Kingdom,0.10582935,6.8,African,21/01/1988,secondary,3
58,Mohammed,Lewis,0,CF11 KVO,4.48E+11,ZZ 53 69 16 T,45112432,O+,"(50, 55]",Cardiff,35.5,0.236730958,0.589934862,0.764423612,3,44.7,1.62,681431,moderate,0.995401185,United Kingdom,0.32957591,9.2,Other Black Background,27/01/1961,secondary,3
59,Iain,Burrows,1,PO2 IUG,+44(0)7700 900 247,ZZ 631189 T,30643576,O+,"(45, 50]",Portsmouth,53.1,0.862072406,0.85502519,0.905794058,48,347.6,1.53,217429,poor,0.424904258,United Kingdom,0.811381466,5.8,Other Mixed Background,20/06/1978,bachelor,3
60,Katie,Ford,1,OX2 WB5,(07700) 900 576,ZZ 348898 T,112932419,B+,"(40, 45]",Oxford,74,0.195148029,0.684818466,0.747704305,26,348.2,1.75,172701,poor,0.653416983,United Kingdom,0.544022514,0.2,Other Asian Background,29/09/2002,masters,1
61,Neil,Webb,0,B1 QCS,+447700 900 392,ZZ 80 96 73 T,69002625,A-,"(55, 60]",Birmingham,41.3,0.339196563,0.871716457,0.342083243,22,45.4,1.67,520675,moderate,0.795967325,United Kingdom,0.117863649,6.9,White and Black Caribbean,30/01/1991,secondary,5
62,Louise,Allan,1,BT3 W2M,07700 900149,ZZ048425T,40661344,A+,"(55, 60]",Belfast,75.2,0.691425469,0.584658925,0.773107587,28,251.4,1.48,148911,poor,0.199102534,United Kingdom,0.170796297,8.7,Other Asian Background,02/04/1989,other,1
63,Denis,Turner,1,SW1 7EN,+44(0)7700 900671,ZZ331917T,43841297,B+,"(50, 55]",City of Westminster,97.9,0.632790941,0.188486654,0.283318766,16,194.6,1.95,255894,moderate,0.971354688,United Kingdom,0.248937525,1.7,Caribbean,19/04/1962,other,5
64,Megan,Smith,0,B3 8CU,+44(0)7700 900618,ZZ 086143 T,94118681,A+,"(55, 60]",Birmingham,64,0.936305106,0.396405124,0.205206514,35,220.1,1.94,736211,moderate,0.810361845,United Kingdom,0.324772222,6.6,Chinese,15/01/1980,secondary,2
65,Richard,King,0,BN3 1UI,(07700) 900495,ZZ 23 31 21 T,19819965,A+,"(45, 50]",Brighton,38.9,0.966970492,0.228735162,0.588209845,27,449,1.44,443303,poor,0.250454052,United Kingdom,0.19174191,7.4,African,03/05/1981,bachelor,2
66,Jake,Clarke,1,E2 K36,4.48E+11,ZZ948810T,47528765,AB-,"(50, 55]",Hackney,58.5,0.386531219,0.277430985,0.524017096,35,87.3,1.68,825513,poor,0.909741798,United Kingdom,0.58904265,9.8,Other Ethnic Group,23/01/1983,secondary,2
67,Lee,O'Neill,0,BT1 PUD,+44(0)7700 900 555,ZZ908782T,115584563,A+,"(50, 55]",Belfast,66,0.685498766,0.666937922,0.34612247,18,184,1.57,697787,good,0.793975392,United Kingdom,0.556937947,5.1,Other Ethnic Group,10/06/1956,secondary,3
68,Dylan,Coleman,1,N2 XPI,+44(0)7700 900237,ZZ 513710 T,127027319,B+,"(50, 55]",Islington,41.3,0.692371,0.861647004,0.752409602,19,198.6,1.61,402133,good,0.364212931,United Kingdom,0.240904398,6.6,British,20/03/1974,other,4
69,Jeremy,Smith,1,N1 XJS,+447700 900267,ZZ 86 53 48 T,30085228,A+,"(50, 55]",Hackney,87.8,0.481354091,0.479940423,0.183293846,9,349.1,1.99,729220,moderate,0.367323168,United Kingdom,0.244752059,7.6,Indian,09/03/1988,secondary,2
70,Eleanor,Atkins,1,SW7 H1D,+447700 900616,ZZ 96 32 28 T,23354474,O+,"(40, 45]",Kensington and Chelsea,63.1,0.598191744,0.045007775,0.643839822,30,58.7,1.71,138764,moderate,0.398658828,United Kingdom,0.774317986,9.6,British,17/04/1972,secondary,5
71,Pauline,Anderson,0,BN3 YIT,+44(0)7700 900937,ZZ061735T,12787683,A+,"(40, 45]",Brighton,95.8,0.228486127,0.904617475,0.629581262,34,73.9,1.99,250081,poor,0.29271671,United Kingdom,0.826039341,3.8,White and Asian,28/06/1982,bachelor,2
72,Sally,Watson,1,SE1 DZV,(07700)900176,ZZ987941T,33530385,A+,"(50, 55]",Lambeth,67.4,0.194007124,0.068326742,0.603042336,25,429.8,1.75,267275,poor,0.586389086,United Kingdom,0.950896693,1.7,White and Black Caribbean,25/05/1997,secondary,2
73,Pamela,Jenkins,1,NG1 D4L,07700 900 862,ZZ796583T,24883546,O+,"(50, 55]",Nottingham,98.7,0.594483296,0.887644004,0.12183877,21,135.6,1.65,502819,good,0.148445312,United Kingdom,0.001356713,1.2,Other Black Background,08/03/1970,secondary,5
74,Victoria,Harvey,0,L3 O47,+447700 900 213,ZZ 12 60 27 T,81521537,O+,"(50, 55]",Liverpool,81.4,0.279258519,0.287728522,0.364956152,41,307.3,1.78,341669,poor,0.34900147,United Kingdom,0.274318083,4.3,Irish,22/05/1980,secondary,3
75,Adam,Thompson,1,CB1 TVU,(07700) 900 408,ZZ384331T,94535743,O+,"(50, 55]",Cambridge,69.9,0.396462029,0.437119657,0.824267338,37,160.5,1.47,861975,moderate,0.314375798,United Kingdom,0.284763648,4.1,White and Black Caribbean,23/11/1988,primary,1
76,Steven,Mistry,0,SW4 YH0,07700 900356,ZZ168131T,68846442,A+,"(40, 45]",Kensington and Chelsea,80.7,0.283528056,0.492081511,0.254783093,28,433.6,1.78,645421,moderate,0.536248738,United Kingdom,0.090846222,1,Other Ethnic Group,10/12/1978,primary,2
77,Andrea,Howard,0,B1 BMI,7700900874,ZZ 39 50 28 T,107918558,B+,"(50, 55]",Birmingham,58.7,0.464421025,0.480317876,0.430851258,13,421.4,1.51,855530,good,0.282681041,United Kingdom,0.921071082,5.2,Other Mixed Background,27/08/1970,secondary,2
78,Eleanor,Gibson,0,B1 K2Q,07700 900 302,ZZ 939937 T,88300803,O+,"(45, 50]",Birmingham,49.4,0.383123316,0.467229392,0.683239022,10,32.8,1.46,168411,moderate,0.876009971,United Kingdom,0.730891749,0.7,Other Asian Background,10/09/1963,phD,4
79,Samuel,Hewitt,1,SE10 N9R,+44(0)7700900502,ZZ 09 85 50 T,99284073,A+,"(45, 50]",Lewisham,64.7,0.295851133,0.269416658,0.359178364,40,264.1,1.49,538164,good,0.277333826,United Kingdom,0.692920919,4.3,British,19/11/2000,secondary,4
80,Robin,Turner,0,FK7 N30,(07700) 900 273,ZZ 53 54 94 T,74218608,O+,"(45, 50]",Stirling,36.9,0.599031765,0.359596907,0.961186156,38,345.4,1.94,723577,good,0.647715928,United Kingdom,0.449079464,8.8,Bangladeshi,15/05/1988,other,3
81,Donna,Davies,1,SW12 TIX,+447700 900938,ZZ324618T,114671105,A+,"(40, 45]",Southwark,59.5,0.265625569,0.795617694,0.266989638,27,340.9,1.62,253980,good,0.140068717,United Kingdom,0.071850939,5,Irish,13/12/1970,secondary,5
82,Rosie,Lyons,1,DD3 MA8,+447700 900 156,ZZ331632T,40561198,O+,"(45, 50]",Dundee,38,0.822263419,0.703932491,0.8005496,44,306.4,1.98,166142,good,0.486105358,United Kingdom,0.279026174,1.8,Other Asian Background,08/05/1970,secondary,2
83,Catherine,Harris,0,PA2 8Q1,+447700 900 505,ZZ002009T,101695411,A+,"(50, 55]",Paisley,68,0.93794295,0.182669673,0.410234945,44,260.4,1.58,452164,good,0.665800077,United Kingdom,0.836804166,9.3,Other Ethnic Group,31/10/1972,secondary,3
84,Chloe,Gardiner,0,B2 G7Z,+447700 900566,ZZ 53 78 71 T,29935185,A+,"(55, 60]",Birmingham,51.1,0.922924153,0.202189677,0.113577798,44,222.3,1.59,372197,poor,0.211494359,United Kingdom,0.484897539,4.6,African,05/08/2003,secondary,1
85,Hannah,Turner,1,NW11 Q9C,+447700 900148,ZZ 947196 T,69342327,B+,"(40, 45]",Hammersmith and Fulham,59.5,0.825772612,0.45662291,0.809364269,10,122.4,1.98,175929,good,0.488067551,United Kingdom,0.736475509,6.8,White and Black Caribbean,28/02/2000,secondary,1
86,Justin,Edwards,1,W8 EKB,(07700)900977,ZZ 12 34 47 T,104340828,B-,"(45, 50]",Greenwich,64.5,0.672621686,0.728411909,0.310828616,42,69.5,1.7,546959,poor,0.71004176,United Kingdom,0.230825373,8.4,British,11/08/1980,secondary,3
87,James,Smith,0,SW1 T62,7700900598,ZZ 91 59 95 T,38435634,O+,"(40, 45]",City of Westminster,45.2,0.47838848,0.601102001,0.797912901,14,53.8,1.58,686167,moderate,0.599266997,United Kingdom,0.269966886,4.2,Pakistanti,26/04/1971,bachelor,2
88,Geoffrey,Watkins,1,SO14 GHC,4.48E+11,ZZ431032T,66895631,A-,"(45, 50]",Southampton,98.4,0.751516136,0.14657882,0.007286139,4,125.2,1.96,349255,poor,0.206992838,United Kingdom,0.803506841,2.4,White and Asian,01/10/1966,secondary,5
89,Tracy,Smith,1,EH3 NBU,+447700 900 960,ZZ278789T,10754702,A+,"(55, 60]",Edinburgh,59.5,0.349972321,0.069764217,0.75409667,39,176,1.89,329971,moderate,0.381232572,United Kingdom,0.970983368,9.5,Bangladeshi,22/12/1960,phD,1
90,Kyle,Gibson,1,IV3 CLT,07700 900 331,ZZ 62 87 29 T,123452027,O+,"(45, 50]",Inverness,53.8,0.286995977,0.168136814,0.558388879,38,91.5,1.92,125873,moderate,0.47630459,United Kingdom,0.86841775,2.1,Irish,25/01/1993,secondary,5
91,Marcus,Scott,0,W1 9UI,7700900824,ZZ 336732 T,62252689,O+,"(50, 55]",City of Westminster,35,0.461505575,0.580872234,0.316457714,43,466.2,1.66,727805,poor,0.435036989,United Kingdom,0.150629856,2.1,Bangladeshi,07/09/1963,secondary,2
92,Melanie,Holden,0,L2 38W,(07700) 900001,ZZ 72 23 72 T,61752656,O+,"(55, 60]",Liverpool,74.4,0.807849759,0.876934808,0.100421085,46,406,1.47,572427,poor,0.309238285,United Kingdom,0.55326962,6.4,Other Ethnic Group,04/12/1960,secondary,5
93,Lydia,Moore,1,L3 P8Q,(07700)900313,ZZ 39 53 37 T,57863436,O+,"(45, 50]",Liverpool,81.5,0.22044084,0.124426238,0.923997163,44,408.7,1.65,892753,moderate,0.633419995,United Kingdom,0.242903951,1.1,White and Black Caribbean,12/09/1971,secondary,4
94,Judith,Bentley,0,SE13 KRY,7700900890,ZZ233733T,55395210,A+,"(50, 55]",Wandsworth,59.3,0.482916523,0.136610173,0.478536722,46,2.6,1.71,836089,good,0.318972851,United Kingdom,0.406304071,7.4,Other Mixed Background,16/02/1968,bachelor,5
95,Victoria,Kelly,0,BT62 0QG,(07700) 900 385,ZZ 39 73 19 T,60942302,A+,"(50, 55]",Armagh,66.4,0.760001289,0.877304278,0.103398869,18,461.7,1.48,212531,good,0.709248044,United Kingdom,0.069498352,9.4,Other White Background,23/02/1985,secondary,4
96,Mathew,Potter,0,NW10 8NM,7700900057,ZZ 37 49 44 T,19541097,B+,"(40, 45]",Hammersmith and Fulham,44.6,0.327095035,0.474639712,0.531472607,28,449.5,1.55,626171,poor,0.452097699,United Kingdom,0.743062393,4.9,Pakistanti,04/11/2003,secondary,4
